Year,TTI,PTI,BTI,Peak,Severity,Variability
2020,1.317152807,1.941318899,0.022764386,am,1.629235853,1.473875232
2020,1.299109283,1.792831833,0.01407084,am,1.545970558,1.380046973
2020,1.235788532,1.632916532,0.014670182,am,1.434352532,1.321355953
2020,1.409874412,2.225403257,0.289926628,am,1.817638834,1.578440774
2020,1.454912465,2.178576764,0.022404057,am,1.816744615,1.497393703
2020,1.23744336,1.591240415,0.013865811,am,1.414341887,1.285909696
2020,1.400579067,2.133277442,0.029347302,am,1.766928254,1.523139602
2020,1.838822922,2.922895383,0.19775636,am,2.380859153,1.589546958
2020,1.415125497,2.206607052,0.036110382,am,1.810866274,1.559301317
2020,1.39062854,2.073389467,0.218537148,am,1.732009004,1.490972901
2020,1.448928871,2.09683057,0.239535764,am,1.77287972,1.447159078
2020,1.415512129,2.222567639,0.349043983,am,1.819039884,1.570150897
2020,1.329769647,2.141750048,0.168005111,am,1.735759847,1.610617338
2020,1.278241032,1.905949177,0.195439049,am,1.592095105,1.491071816
2020,1.526511338,2.286884376,0.232876419,am,1.906697857,1.498111622
2020,1.402333366,2.282573059,0.052390843,am,1.842453213,1.627696463
2020,1.477025222,2.360138434,0.126856001,am,1.918581828,1.597899886
2020,1.388085106,2.5,0.177304965,am,1.944042553,1.801042305
2020,1.56928151,2.441638101,0.30696779,am,2.005459806,1.55589554
2020,1.45209712,2.226914166,0.122273308,am,1.839505643,1.533584865
2020,1.644048251,2.75808232,0.380729044,am,2.201065286,1.677616407
2020,1.113928447,1.361635985,0.047295449,am,1.237782216,1.222372934
2020,1.219991727,2.540834981,0.391468718,am,1.880413354,2.082665747
2020,1.159824996,2.013317357,0.081873128,am,1.586571176,1.735880296
2020,1.218825571,2.05883354,0.003796475,am,1.638829555,1.689194574
2020,1.143487951,2.04451482,0.071174358,am,1.594001386,1.787963588
2020,1.11364612,1.345452487,0.042626437,am,1.229549303,1.208150833
2020,1.154157378,2.242598231,0.078224184,am,1.698377804,1.943061037
2020,1.42924237,2.18672177,0.050211016,am,1.80798207,1.529986667
2020,1.402394299,2.464096332,0.142302342,am,1.933245315,1.757063855
2020,1.383792817,2.22393074,0.182724344,am,1.803861779,1.607126957
2020,1.354124889,2.02188752,0.152559268,am,1.688006205,1.493132234
2020,1.438809375,2.401477609,0.038950253,am,1.920143492,1.669072811
2020,1.396854002,2.074062586,0.115967262,am,1.735458294,1.484809854
2020,1.251363731,1.973982302,0.124990944,am,1.612673016,1.577464852
2020,1.531065667,2.494515375,0.029016742,am,2.012790521,1.629267398
2020,1.438243826,2.484230055,0.218850738,am,1.96123694,1.727266274
2020,1.323327169,2.171523813,0.112317419,am,1.747425491,1.640957629
2020,1.336719838,2.239473284,0.1649954,am,1.788096561,1.675349778
2020,1.565509363,3.095781888,0.061317304,am,2.330645625,1.977491775
2020,1.398576889,2.477602945,0.189410105,am,1.938089917,1.771517151
2020,1.359788754,2.05585807,0.199099084,am,1.707823412,1.511895185
2020,1.69333852,2.732979938,0.198415455,am,2.213159229,1.613959587
2020,1.480003859,2.394272061,0.044633678,am,1.93713796,1.617747174
2020,1.372161807,1.977210855,0.114017897,am,1.674686331,1.440945845
2020,1.385281216,2.285822543,0.201636998,am,1.835551879,1.65007835
2020,1.536206666,3.126625918,0.058034521,am,2.331416292,2.035289904
2020,1.16452514,3.590363128,0.250723682,am,2.377444134,3.083113456
2020,1.469111304,2.730214891,0.178515338,am,2.099663097,1.858412554
2020,1.295866434,2.203009411,0.09167654,am,1.749437923,1.700028146
2020,1.111529628,2.28487502,0.136522443,am,1.698202324,2.05561324
2020,1.289208941,2.112880659,0.213015624,am,1.7010448,1.638896994
2020,1.170562561,1.48032057,0.036428306,am,1.325441566,1.264623198
2020,1.224538448,1.605430031,0.102872866,am,1.41498424,1.3110491
2020,1.368880466,2.198014774,0.036609787,am,1.78344762,1.605702491
2020,1.334595104,1.928625235,0.018160313,am,1.631610169,1.445101387
2020,1.114148935,1.316823515,0.016088111,am,1.215486225,1.181909773
2020,1.058551912,1.185173103,0.061091588,am,1.121862507,1.119617366
2020,1.059099972,1.312448451,0.07258152,am,1.185774212,1.239211109
2020,1.072024367,1.47197438,0.05519962,am,1.271999373,1.373079219
2020,1.04768623,1.108436795,0.031276433,am,1.078061512,1.057985457
2020,1.074394124,1.179163453,0.003605829,am,1.126778789,1.097514802
2020,1.236319062,2.273861624,0.109419186,am,1.755090343,1.839219093
2020,1.066853868,1.331852806,0.036542367,am,1.199353337,1.248392911
2020,1.236256087,1.68453287,0.076980153,am,1.460394478,1.362608352
2020,1.666834915,2.861427656,0.309664895,am,2.264131286,1.716683296
2020,1.862497647,3.438527262,0.241347574,am,2.650512454,1.846191467
2020,1.298412976,1.792944516,0.030779689,am,1.545678746,1.380873843
2020,1.35975767,2.046733036,0.054977122,am,1.703245353,1.505218967
2020,1.624420509,3.124760757,0.73778022,am,2.374590633,1.923615677
2020,1.359897735,2.08226473,0.120942903,am,1.721081232,1.531192145
2020,1.511211584,2.644284208,0.235676167,am,2.077747896,1.74977762
2020,1.215533083,1.715862744,0.101031261,am,1.465697914,1.411613364
2020,1.536698352,2.897804724,0.062753166,am,2.217251538,1.885734256
2020,1.093199211,1.256125903,0.227249841,am,1.174662557,1.149036599
2020,1.071601194,1.233373553,0.043144387,am,1.152487373,1.150963213
2020,1.074802168,1.208673512,0.11090931,am,1.14173784,1.124554405
2020,1.082365364,1.752217529,0.092514125,am,1.417291447,1.618878049
2020,1.069704365,1.180689355,0.075754585,am,1.12519686,1.103752956
2020,1.063947282,1.184962554,0.072940003,am,1.124454918,1.113741794
2020,1.145698386,1.456368873,0.071301716,am,1.30103363,1.271162543
2020,1.233736065,1.708589822,0.031868173,am,1.471162943,1.384890878
2020,1.059736541,1.335337664,0.009726716,am,1.197537102,1.260065698
2020,1.035951327,1.100158028,0.008692778,am,1.068054678,1.061978491
2020,1.035951327,1.100158028,0.008692778,am,1.068054678,1.061978491
2020,1.219139275,1.744640822,0.016629499,am,1.481890049,1.431043078
2020,1.223349626,1.820267282,0.137804658,am,1.521808454,1.487937089
2020,1.130556749,1.482490585,0.011047776,am,1.306523667,1.3112925
